ID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore
512.0,female,group B,associate's degree,free/reduced,none,47.0,71.0,63.0
513.0,male,group D,master's degree,free/reduced,completed,53.0,43.0,54.0
514.0,male,group C,associate's degree,free/reduced,none,71.0,73.0,65.0
515.0,female,group C,associate's degree,free/reduced,none,51.0,57.0,52.0
516.0,male,group D,bachelor's degree,standard,none,76.0,70.0,76.0
517.0,male,group D,some college,standard,completed,85.0,82.0,90.0
518.0,female,group B,some high school,standard,completed,55.0,68.0,73.0
519.0,female,group B,associate's degree,standard,none,61.0,75.0,76.0
520.0,female,group C,some high school,standard,completed,57.0,62.0,65.0
521.0,female,group E,some high school,standard,none,65.0,65.0,70.0
522.0,male,group C,associate's degree,standard,none,84.0,75.0,70.0
523.0,female,group D,some college,free/reduced,none,55.0,65.0,65.0
524.0,female,group B,some college,standard,completed,93.0,100.0,100.0
525.0,female,group D,associate's degree,standard,none,83.0,88.0,91.0
526.0,female,group C,some college,standard,completed,64.0,73.0,74.0
527.0,female,group C,master's degree,standard,none,70.0,83.0,78.0
528.0,female,group C,associate's degree,free/reduced,completed,51.0,68.0,74.0
529.0,male,group C,some college,free/reduced,none,65.0,60.0,61.0
530.0,male,group D,some college,standard,none,73.0,60.0,62.0
531.0,male,group E,associate's degree,standard,none,67.0,62.0,58.0
532.0,male,group C,associate's degree,standard,completed,85.0,71.0,73.0
533.0,male,group D,high school,standard,none,92.0,82.0,82.0
534.0,male,group E,associate's degree,standard,none,94.0,91.0,87.0
535.0,male,group A,some high school,standard,completed,55.0,57.0,53.0
536.0,male,group E,some college,standard,none,77.0,75.0,71.0
537.0,male,group E,associate's degree,standard,completed,78.0,70.0,69.0
538.0,male,group C,associate's degree,standard,none,78.0,70.0,63.0
539.0,male,group E,some college,standard,none,98.0,82.0,85.0
540.0,female,group D,bachelor's degree,free/reduced,none,48.0,65.0,62.0
541.0,male,group E,high school,standard,none,71.0,63.0,63.0
542.0,male,group D,some college,standard,completed,53.0,45.0,50.0
543.0,female,group A,some college,standard,completed,88.0,92.0,93.0
544.0,male,group A,high school,standard,none,44.0,37.0,28.0
545.0,female,group C,high school,free/reduced,none,30.0,41.0,44.0
546.0,male,group B,associate's degree,free/reduced,none,89.0,81.0,72.0
547.0,female,group C,bachelor's degree,standard,none,87.0,91.0,86.0
548.0,female,group C,associate's degree,standard,none,65.0,68.0,78.0
549.0,male,group C,associate's degree,standard,none,69.0,87.0,72.0
550.0,female,group C,bachelor's degree,standard,none,47.0,60.0,61.0
551.0,female,group C,bachelor's degree,free/reduced,none,29.0,40.0,42.0
552.0,female,group D,bachelor's degree,standard,completed,66.0,75.0,78.0
553.0,female,group D,master's degree,free/reduced,completed,64.0,86.0,93.0
554.0,male,group E,bachelor's degree,standard,none,70.0,53.0,53.0
555.0,female,group D,associate's degree,free/reduced,none,53.0,62.0,65.0
556.0,male,group D,associate's degree,standard,none,58.0,66.0,62.0
557.0,male,group E,some college,standard,none,87.0,78.0,72.0
558.0,male,group C,high school,standard,completed,62.0,63.0,63.0
559.0,male,group D,some high school,standard,none,74.0,69.0,67.0
560.0,female,group A,bachelor's degree,standard,none,61.0,66.0,68.0
561.0,male,group E,master's degree,free/reduced,none,71.0,71.0,73.0
562.0,female,group D,some high school,standard,none,61.0,69.0,67.0
563.0,male,group B,some college,free/reduced,none,78.0,71.0,72.0
564.0,male,group C,some high school,standard,completed,79.0,82.0,77.0
565.0,female,group B,associate's degree,standard,completed,50.0,61.0,60.0
566.0,male,group D,some high school,free/reduced,completed,71.0,71.0,73.0
567.0,female,group E,associate's degree,free/reduced,none,57.0,59.0,56.0
568.0,male,group D,high school,standard,none,59.0,48.0,44.0
569.0,female,group D,some high school,standard,none,86.0,89.0,86.0
570.0,male,group C,some college,standard,none,71.0,69.0,66.0
571.0,male,group E,bachelor's degree,standard,completed,100.0,96.0,100.0
572.0,female,group C,some college,standard,none,57.0,67.0,67.0
573.0,female,group B,some college,standard,none,81.0,91.0,83.0
574.0,female,group D,master's degree,standard,none,88.0,100.0,100.0
575.0,female,group C,bachelor's degree,standard,completed,89.0,100.0,100.0
576.0,male,group C,high school,standard,none,48.0,46.0,41.0
577.0,female,group C,some high school,free/reduced,completed,36.0,61.0,54.0
578.0,female,group B,high school,standard,none,57.0,66.0,71.0
579.0,male,group B,high school,free/reduced,none,59.0,62.0,52.0
580.0,male,group C,associate's degree,standard,none,51.0,51.0,44.0
581.0,male,group C,high school,standard,none,77.0,80.0,72.0
582.0,male,group D,some college,standard,completed,83.0,79.0,78.0
583.0,female,group C,associate's degree,free/reduced,completed,87.0,97.0,97.0
584.0,male,group B,some college,standard,completed,76.0,70.0,73.0
585.0,female,group B,associate's degree,free/reduced,completed,62.0,71.0,73.0
586.0,female,group A,associate's degree,standard,none,65.0,69.0,74.0
587.0,male,group C,some high school,free/reduced,completed,82.0,80.0,80.0
588.0,female,group A,associate's degree,free/reduced,completed,44.0,47.0,52.0
589.0,female,group B,bachelor's degree,standard,none,87.0,85.0,83.0
590.0,female,group B,master's degree,standard,none,82.0,92.0,84.0
591.0,male,group D,associate's degree,standard,none,92.0,81.0,79.0
592.0,female,group C,bachelor's degree,standard,none,43.0,50.0,53.0
593.0,female,group C,associate's degree,free/reduced,none,43.0,57.0,50.0
594.0,female,group D,high school,standard,none,78.0,73.0,80.0
595.0,male,group B,associate's degree,standard,none,70.0,64.0,62.0
596.0,female,group D,associate's degree,free/reduced,none,42.0,65.0,66.0
597.0,male,group B,associate's degree,standard,none,98.0,88.0,80.0
598.0,female,group C,high school,standard,none,51.0,60.0,56.0
599.0,female,group C,some college,standard,completed,73.0,82.0,85.0
600.0,female,group B,high school,standard,none,37.0,43.0,39.0
601.0,male,group C,some high school,free/reduced,completed,41.0,35.0,37.0
602.0,female,group E,some college,standard,none,68.0,73.0,67.0
603.0,male,group D,some high school,standard,completed,83.0,78.0,84.0
604.0,female,group A,some high school,standard,completed,57.0,72.0,76.0
605.0,female,group D,high school,free/reduced,none,61.0,72.0,65.0
606.0,male,group D,some high school,free/reduced,none,46.0,42.0,38.0
607.0,male,group D,some college,free/reduced,none,82.0,81.0,79.0
608.0,female,group C,associate's degree,free/reduced,none,72.0,86.0,89.0
609.0,female,group C,high school,free/reduced,none,63.0,63.0,64.0
610.0,female,group C,high school,free/reduced,completed,64.0,71.0,71.0
611.0,male,group B,some college,standard,completed,60.0,60.0,59.0
612.0,male,group D,master's degree,standard,none,100.0,84.0,85.0
613.0,female,group C,high school,free/reduced,completed,58.0,58.0,63.0
614.0,female,group C,some college,standard,completed,76.0,88.0,89.0
615.0,male,group D,some high school,standard,completed,57.0,49.0,52.0
616.0,female,group D,associate's degree,standard,none,31.0,55.0,46.0
617.0,female,group B,associate's degree,standard,none,56.0,60.0,64.0
618.0,male,group D,some college,standard,none,76.0,65.0,65.0
619.0,female,group D,high school,standard,completed,80.0,95.0,96.0
620.0,male,group D,master's degree,standard,none,85.0,84.0,76.0
621.0,female,group A,some college,standard,completed,96.0,99.0,100.0
622.0,female,group E,master's degree,free/reduced,none,90.0,92.0,92.0
623.0,female,group C,master's degree,standard,none,81.0,83.0,81.0
624.0,male,group C,some college,standard,completed,87.0,76.0,72.0
625.0,female,group C,some college,free/reduced,none,53.0,55.0,52.0
626.0,male,group C,high school,free/reduced,none,39.0,46.0,40.0
627.0,male,group B,associate's degree,standard,none,80.0,61.0,63.0
628.0,female,group C,high school,free/reduced,none,53.0,60.0,60.0
629.0,female,group A,some college,free/reduced,none,69.0,74.0,72.0
630.0,male,group C,some college,standard,completed,79.0,68.0,72.0
631.0,male,group B,some high school,standard,none,79.0,76.0,74.0
632.0,female,group E,high school,standard,completed,85.0,93.0,93.0
633.0,male,group B,associate's degree,standard,none,63.0,56.0,54.0
634.0,female,group B,some high school,standard,none,68.0,87.0,82.0
635.0,female,group A,associate's degree,standard,none,69.0,83.0,84.0
636.0,male,group C,some college,standard,none,81.0,71.0,70.0
637.0,female,group A,some college,standard,none,78.0,71.0,74.0
638.0,female,group D,some high school,standard,none,62.0,72.0,65.0
639.0,female,group D,some college,standard,completed,79.0,81.0,92.0
640.0,male,group B,high school,standard,none,39.0,48.0,35.0
641.0,female,group D,some college,free/reduced,completed,47.0,66.0,69.0
642.0,male,group D,some high school,standard,none,74.0,62.0,63.0
643.0,female,group D,bachelor's degree,standard,none,60.0,66.0,73.0
644.0,male,group C,some high school,free/reduced,none,58.0,43.0,43.0
645.0,female,group D,master's degree,free/reduced,none,58.0,69.0,73.0
646.0,male,group C,some college,free/reduced,completed,65.0,72.0,66.0
647.0,female,group C,some high school,standard,none,59.0,65.0,64.0
648.0,male,group D,associate's degree,standard,none,68.0,47.0,54.0
649.0,female,group B,high school,free/reduced,completed,53.0,64.0,67.0
650.0,female,group B,high school,free/reduced,none,34.0,39.0,45.0
651.0,female,group A,associate's degree,standard,completed,93.0,100.0,100.0
652.0,male,group E,bachelor's degree,standard,none,93.0,89.0,78.0
653.0,male,group C,some college,free/reduced,completed,62.0,53.0,51.0
654.0,male,group D,associate's degree,standard,none,71.0,76.0,78.0
655.0,female,group A,high school,free/reduced,none,34.0,51.0,49.0
656.0,female,group D,some college,standard,none,46.0,55.0,62.0
657.0,male,group D,master's degree,free/reduced,none,72.0,80.0,80.0
658.0,female,group B,some college,free/reduced,completed,39.0,54.0,59.0
659.0,male,group D,some college,free/reduced,completed,51.0,59.0,60.0
660.0,female,group A,high school,free/reduced,none,58.0,59.0,56.0
661.0,female,group D,associate's degree,free/reduced,none,53.0,61.0,62.0
662.0,male,group A,some high school,free/reduced,none,50.0,47.0,47.0
663.0,female,group E,associate's degree,standard,none,69.0,64.0,67.0
664.0,male,group E,some high school,standard,none,72.0,66.0,62.0
665.0,female,,some high school,free/reduced,none,43.0,51.0,54.0
666.0,female,group E,some college,free/reduced,completed,72.0,79.0,85.0
667.0,female,group A,bachelor's degree,free/reduced,none,44.0,61.0,55.0
668.0,female,group D,associate's degree,standard,none,82.0,90.0,97.0
669.0,female,group B,high school,standard,none,72.0,88.0,82.0
670.0,male,group C,some high school,standard,none,56.0,55.0,52.0
671.0,female,group E,high school,free/reduced,none,60.0,69.0,70.0
672.0,female,group D,high school,standard,none,35.0,49.0,52.0
673.0,male,group E,associate's degree,standard,none,93.0,85.0,82.0
674.0,female,group D,some high school,free/reduced,none,57.0,77.0,65.0
675.0,male,group C,bachelor's degree,free/reduced,none,68.0,70.0,74.0
676.0,female,group A,high school,standard,none,72.0,74.0,75.0
677.0,female,group E,high school,free/reduced,none,75.0,75.0,74.0
678.0,male,group B,high school,standard,completed,55.0,60.0,57.0
679.0,female,group C,some college,standard,none,56.0,59.0,54.0
680.0,female,group C,some high school,standard,completed,53.0,70.0,74.0
681.0,female,group B,high school,free/reduced,none,51.0,63.0,65.0
682.0,male,group B,some high school,standard,completed,82.0,83.0,80.0
683.0,male,group C,some college,standard,completed,59.0,59.0,56.0
684.0,female,group D,master's degree,free/reduced,completed,82.0,81.0,87.0
685.0,male,group B,associate's degree,free/reduced,completed,64.0,70.0,71.0
686.0,female,group C,master's degree,free/reduced,none,33.0,42.0,44.0
687.0,male,group D,some high school,standard,none,86.0,64.0,62.0
688.0,male,group C,associate's degree,free/reduced,none,70.0,64.0,66.0
689.0,male,group C,bachelor's degree,standard,none,90.0,85.0,83.0
690.0,female,group A,associate's degree,free/reduced,none,28.0,34.0,34.0
691.0,male,group B,high school,free/reduced,completed,68.0,78.0,75.0
692.0,male,group C,high school,standard,completed,79.0,79.0,80.0
693.0,male,group B,high school,standard,completed,87.0,86.0,86.0
694.0,male,group E,bachelor's degree,free/reduced,none,87.0,78.0,75.0
695.0,female,group A,high school,standard,none,53.0,67.0,68.0
696.0,female,group C,bachelor's degree,standard,none,82.0,95.0,98.0
697.0,female,group D,bachelor's degree,standard,none,72.0,65.0,73.0
698.0,female,group D,some college,standard,completed,86.0,92.0,97.0
699.0,female,group D,bachelor's degree,standard,completed,88.0,100.0,98.0
700.0,male,group B,associate's degree,standard,none,85.0,66.0,67.0
701.0,male,group C,associate's degree,standard,completed,77.0,79.0,74.0
702.0,female,group B,associate's degree,free/reduced,none,44.0,53.0,54.0
703.0,female,group D,master's degree,standard,none,43.0,66.0,66.0
704.0,female,group B,high school,standard,completed,50.0,68.0,59.0
705.0,female,group C,bachelor's degree,free/reduced,completed,76.0,89.0,87.0
706.0,male,group B,some college,standard,completed,78.0,66.0,66.0
707.0,male,group D,bachelor's degree,standard,none,67.0,65.0,61.0
708.0,male,group B,some college,standard,completed,63.0,61.0,64.0
709.0,male,group B,master's degree,free/reduced,completed,67.0,67.0,68.0
710.0,female,group D,some high school,standard,none,66.0,62.0,64.0
711.0,male,group A,some college,standard,none,61.0,55.0,54.0
712.0,male,group D,some college,standard,none,80.0,70.0,67.0
713.0,female,group C,some high school,standard,completed,75.0,93.0,92.0
714.0,male,group D,some college,free/reduced,none,63.0,57.0,52.0
715.0,female,group D,high school,free/reduced,none,64.0,65.0,67.0
716.0,male,group E,high school,standard,completed,59.0,50.0,54.0
717.0,male,group C,bachelor's degree,free/reduced,none,61.0,57.0,49.0
718.0,male,group B,high school,standard,none,65.0,69.0,64.0
719.0,female,group A,some college,standard,none,46.0,54.0,51.0
720.0,female,group C,high school,free/reduced,none,42.0,56.0,56.0
721.0,male,group B,high school,standard,completed,64.0,70.0,69.0
722.0,female,group C,bachelor's degree,standard,none,56.0,73.0,71.0
723.0,male,group A,bachelor's degree,standard,none,70.0,59.0,60.0
724.0,male,group E,some high school,standard,none,76.0,69.0,62.0
725.0,female,group D,associate's degree,standard,none,73.0,68.0,73.0
726.0,female,group C,bachelor's degree,free/reduced,completed,60.0,80.0,81.0
727.0,male,group C,some high school,standard,none,53.0,45.0,45.0
728.0,male,group A,some high school,free/reduced,none,52.0,69.0,55.0
729.0,male,group E,high school,free/reduced,none,61.0,49.0,46.0
730.0,male,group E,high school,free/reduced,none,71.0,63.0,58.0
731.0,female,group C,high school,free/reduced,none,38.0,46.0,46.0
732.0,female,group E,some high school,free/reduced,none,51.0,63.0,59.0
733.0,female,group C,some high school,standard,completed,57.0,63.0,63.0
734.0,female,group C,high school,standard,completed,77.0,79.0,78.0
735.0,male,group C,associate's degree,standard,none,99.0,93.0,89.0
736.0,female,group C,associate's degree,free/reduced,none,69.0,74.0,72.0
737.0,male,group E,some college,standard,none,97.0,83.0,77.0
738.0,female,group C,associate's degree,free/reduced,completed,54.0,72.0,68.0
739.0,female,group E,some college,standard,none,67.0,66.0,63.0
741.0,female,group D,bachelor's degree,standard,completed,71.0,77.0,79.0
742.0,male,group C,some college,free/reduced,none,50.0,54.0,46.0
743.0,male,group D,associate's degree,free/reduced,none,69.0,67.0,64.0
744.0,female,group B,high school,standard,none,68.0,77.0,71.0
745.0,male,group C,some college,free/reduced,none,75.0,61.0,60.0
746.0,female,group E,some college,standard,completed,63.0,77.0,73.0
747.0,female,group C,bachelor's degree,standard,none,91.0,100.0,97.0
748.0,female,group C,some high school,standard,none,52.0,55.0,48.0
749.0,female,group C,high school,standard,none,69.0,76.0,67.0
750.0,male,group D,some college,free/reduced,none,61.0,60.0,56.0
751.0,female,group C,bachelor's degree,free/reduced,completed,69.0,78.0,78.0
752.0,female,group D,some high school,free/reduced,none,75.0,76.0,79.0
753.0,male,group D,some college,standard,completed,87.0,93.0,91.0
754.0,female,group D,some high school,standard,none,66.0,73.0,70.0
755.0,female,group C,some college,free/reduced,none,42.0,60.0,54.0
756.0,male,group D,some college,free/reduced,completed,63.0,63.0,68.0
757.0,male,group C,associate's degree,standard,completed,72.0,70.0,64.0
758.0,male,group D,associate's degree,standard,none,93.0,76.0,75.0
759.0,female,group D,high school,standard,completed,77.0,86.0,89.0
760.0,female,group A,some college,standard,none,56.0,59.0,58.0
761.0,male,group E,associate's degree,standard,none,96.0,93.0,88.0
762.0,male,group B,bachelor's degree,standard,none,90.0,94.0,86.0
763.0,male,group D,high school,free/reduced,none,34.0,32.0,29.0
764.0,male,group C,bachelor's degree,free/reduced,completed,70.0,66.0,68.0
765.0,male,group D,associate's degree,standard,none,66.0,59.0,61.0
766.0,male,group D,associate's degree,standard,none,96.0,90.0,84.0
767.0,male,group C,high school,free/reduced,completed,76.0,71.0,70.0
768.0,female,group B,some high school,standard,none,61.0,76.0,70.0
769.0,male,group C,high school,standard,none,68.0,70.0,63.0
770.0,female,group D,high school,free/reduced,completed,55.0,68.0,76.0
771.0,female,group C,some high school,standard,none,59.0,81.0,74.0
772.0,male,group E,bachelor's degree,standard,completed,73.0,77.0,74.0
773.0,male,group C,some high school,standard,none,75.0,69.0,65.0
774.0,male,group D,high school,standard,completed,79.0,77.0,79.0
775.0,female,group D,some high school,standard,none,61.0,66.0,66.0
776.0,female,group C,associate's degree,standard,none,85.0,92.0,95.0
777.0,male,group D,master's degree,standard,none,95.0,86.0,89.0
778.0,male,group C,some college,standard,none,70.0,60.0,61.0
779.0,female,group B,some college,standard,none,66.0,72.0,80.0
780.0,female,group C,high school,free/reduced,none,69.0,80.0,73.0
781.0,female,group C,master's degree,standard,none,73.0,87.0,87.0
782.0,male,group D,associate's degree,free/reduced,none,87.0,81.0,79.0
783.0,female,group D,some high school,free/reduced,completed,71.0,85.0,87.0
784.0,male,group D,associate's degree,free/reduced,none,52.0,55.0,49.0
785.0,female,group D,high school,standard,completed,67.0,68.0,77.0
786.0,female,group B,some high school,free/reduced,none,51.0,49.0,56.0
787.0,female,group D,associate's degree,standard,completed,74.0,90.0,94.0
788.0,female,group E,some college,standard,none,74.0,79.0,79.0
789.0,female,group D,some college,standard,none,60.0,59.0,65.0
790.0,female,group C,some college,standard,completed,65.0,79.0,76.0
791.0,male,group E,bachelor's degree,free/reduced,none,55.0,56.0,50.0
792.0,female,group A,some high school,standard,none,70.0,83.0,81.0
793.0,female,group C,high school,free/reduced,completed,59.0,73.0,70.0
794.0,female,group E,high school,standard,completed,85.0,79.0,84.0
795.0,female,group D,some college,free/reduced,completed,59.0,74.0,73.0
796.0,male,group D,bachelor's degree,free/reduced,completed,70.0,74.0,73.0
797.0,female,group E,high school,standard,none,78.0,79.0,74.0
798.0,female,group D,master's degree,standard,none,100.0,100.0,100.0
799.0,female,group D,some college,standard,none,48.0,53.0,56.0
800.0,female,group E,associate's degree,standard,none,79.0,81.0,83.0
801.0,female,group C,high school,standard,completed,54.0,68.0,75.0
802.0,female,group D,some high school,free/reduced,completed,39.0,46.0,42.0
803.0,female,group D,high school,standard,completed,77.0,88.0,99.0
804.0,male,group E,some college,standard,none,93.0,81.0,84.0
805.0,male,group B,high school,free/reduced,none,48.0,55.0,50.0
806.0,female,group A,some college,standard,completed,86.0,91.0,96.0
807.0,female,group B,some college,free/reduced,none,57.0,65.0,65.0
808.0,female,group C,associate's degree,free/reduced,completed,59.0,85.0,82.0
809.0,male,group C,some college,free/reduced,none,74.0,79.0,78.0
810.0,female,group E,bachelor's degree,standard,none,79.0,85.0,84.0
811.0,female,group B,high school,standard,completed,72.0,85.0,87.0
812.0,female,group D,some college,free/reduced,completed,56.0,76.0,83.0
813.0,male,group D,some high school,standard,completed,74.0,77.0,74.0
814.0,female,group C,master's degree,free/reduced,none,56.0,81.0,72.0
815.0,male,group E,some college,standard,completed,84.0,78.0,80.0
816.0,female,group C,bachelor's degree,standard,none,85.0,92.0,98.0
817.0,female,group C,some college,standard,none,74.0,82.0,85.0
818.0,male,group C,some high school,standard,none,56.0,42.0,41.0
819.0,male,group D,master's degree,standard,none,84.0,71.0,72.0
820.0,male,group C,some college,standard,completed,61.0,55.0,51.0
821.0,male,group B,some college,free/reduced,none,52.0,51.0,43.0
822.0,male,group C,some high school,standard,none,71.0,71.0,67.0
823.0,female,group D,some high school,free/reduced,completed,80.0,91.0,95.0
824.0,male,group C,some college,free/reduced,none,58.0,50.0,52.0
825.0,male,group E,high school,free/reduced,none,55.0,52.0,47.0
826.0,female,group A,high school,free/reduced,none,27.0,41.0,42.0
827.0,female,group D,high school,standard,none,72.0,81.0,81.0
828.0,female,group C,associate's degree,free/reduced,none,49.0,58.0,57.0
829.0,female,group D,some high school,free/reduced,none,56.0,68.0,69.0
830.0,male,group D,associate's degree,standard,completed,100.0,100.0,97.0
831.0,male,group D,some college,standard,none,87.0,73.0,70.0
832.0,female,group E,some high school,standard,none,86.0,93.0,94.0
833.0,male,group D,some college,free/reduced,none,60.0,65.0,65.0
834.0,male,group C,high school,standard,none,48.0,56.0,46.0
835.0,female,group A,bachelor's degree,standard,completed,83.0,98.0,97.0
836.0,male,group D,bachelor's degree,standard,completed,72.0,74.0,79.0
837.0,female,group D,associate's degree,standard,none,72.0,81.0,85.0
838.0,female,group C,high school,free/reduced,none,52.0,55.0,55.0
839.0,male,group C,high school,standard,none,68.0,55.0,55.0
840.0,male,group D,high school,standard,none,76.0,72.0,75.0
841.0,male,group D,some high school,free/reduced,none,61.0,72.0,61.0
842.0,female,group C,some college,free/reduced,completed,55.0,76.0,75.0
843.0,male,group B,some college,free/reduced,completed,74.0,82.0,75.0
844.0,male,group E,associate's degree,free/reduced,completed,74.0,71.0,75.0
845.0,female,group B,some high school,standard,completed,54.0,61.0,63.0
846.0,female,group B,bachelor's degree,free/reduced,completed,81.0,96.0,92.0
847.0,female,group A,associate's degree,standard,none,65.0,70.0,73.0
848.0,male,group D,master's degree,standard,completed,96.0,94.0,97.0
849.0,female,group B,some high school,standard,completed,64.0,75.0,74.0
850.0,female,group C,some college,standard,none,61.0,79.0,79.0
851.0,female,group C,associate's degree,free/reduced,none,59.0,74.0,70.0
852.0,female,group C,some college,standard,none,62.0,73.0,68.0
853.0,male,group C,some high school,standard,none,66.0,76.0,71.0
854.0,female,group C,bachelor's degree,standard,none,88.0,88.0,97.0
855.0,female,group E,associate's degree,standard,none,77.0,68.0,67.0
856.0,female,group C,high school,standard,none,52.0,54.0,56.0
857.0,male,group D,associate's degree,free/reduced,none,60.0,46.0,54.0
858.0,female,group B,some college,standard,none,50.0,67.0,59.0
859.0,male,group C,some high school,free/reduced,none,66.0,69.0,62.0
860.0,male,group D,some college,free/reduced,none,72.0,65.0,64.0
861.0,male,group B,associate's degree,standard,none,68.0,59.0,59.0
862.0,male,group D,some college,standard,completed,75.0,73.0,74.0
863.0,female,group C,high school,standard,completed,54.0,71.0,64.0
864.0,female,group E,some college,standard,none,86.0,100.0,95.0
865.0,female,group C,some college,standard,completed,57.0,72.0,75.0
866.0,female,group A,high school,,completed,49.0,58.0,59.0
867.0,female,group C,master's degree,standard,completed,93.0,98.0,100.0
868.0,female,group D,high school,standard,completed,73.0,96.0,92.0
869.0,male,group C,some college,free/reduced,completed,65.0,74.0,74.0
870.0,male,group C,some college,standard,none,56.0,54.0,53.0
871.0,female,group A,bachelor's degree,free/reduced,completed,76.0,92.0,100.0
872.0,female,group D,associate's degree,standard,completed,69.0,87.0,86.0
873.0,male,group B,master's degree,free/reduced,none,78.0,56.0,65.0
874.0,male,group D,high school,free/reduced,none,63.0,65.0,57.0
875.0,male,group C,some college,standard,none,68.0,60.0,52.0
876.0,female,group C,some high school,standard,none,75.0,75.0,71.0
877.0,female,group B,high school,free/reduced,none,30.0,43.0,32.0
878.0,female,group E,master's degree,standard,none,97.0,100.0,97.0
879.0,male,group D,some high school,free/reduced,completed,82.0,75.0,72.0
880.0,female,group E,high school,standard,none,82.0,90.0,80.0
881.0,female,group E,some college,standard,none,71.0,88.0,82.0
882.0,male,group D,associate's degree,free/reduced,none,78.0,64.0,68.0
883.0,male,group D,some college,standard,completed,80.0,75.0,80.0
884.0,female,group D,high school,standard,none,66.0,58.0,67.0
885.0,female,group C,associate's degree,standard,completed,84.0,79.0,90.0
886.0,female,group C,high school,standard,none,54.0,56.0,55.0
887.0,male,group C,associate's degree,free/reduced,none,56.0,68.0,58.0
888.0,female,group C,some college,standard,completed,74.0,93.0,93.0
889.0,male,group E,associate's degree,standard,none,62.0,50.0,48.0
890.0,female,group B,high school,free/reduced,completed,52.0,70.0,73.0
891.0,female,group B,high school,standard,completed,64.0,84.0,80.0
892.0,male,group C,bachelor's degree,free/reduced,completed,67.0,60.0,60.0
893.0,male,group B,some high school,standard,none,79.0,69.0,66.0
894.0,female,group A,some college,free/reduced,none,56.0,64.0,67.0
895.0,male,group C,high school,free/reduced,none,54.0,55.0,44.0
896.0,male,group C,some high school,standard,none,47.0,30.0,38.0
897.0,male,group B,associate's degree,free/reduced,completed,67.0,73.0,71.0
898.0,male,group C,some high school,standard,none,78.0,65.0,65.0
899.0,male,group A,associate's degree,standard,none,77.0,79.0,74.0
900.0,female,group C,high school,standard,none,55.0,59.0,60.0
901.0,female,group C,some college,standard,none,53.0,72.0,67.0
902.0,female,group D,some high school,free/reduced,completed,66.0,80.0,74.0
903.0,female,group E,associate's degree,free/reduced,none,85.0,95.0,90.0
904.0,female,group E,master's degree,free/reduced,none,73.0,67.0,70.0
905.0,female,group E,bachelor's degree,standard,none,57.0,69.0,63.0
906.0,male,group C,some college,standard,none,80.0,70.0,66.0
907.0,male,group A,some college,standard,completed,64.0,67.0,66.0
908.0,male,group C,associate's degree,standard,none,66.0,63.0,59.0
909.0,female,group B,some college,free/reduced,completed,32.0,42.0,44.0
910.0,female,group D,some college,standard,none,84.0,97.0,98.0
911.0,male,group C,associate's degree,free/reduced,none,62.0,58.0,57.0
912.0,male,group D,associate's degree,standard,none,88.0,85.0,79.0
913.0,female,group D,some college,free/reduced,completed,55.0,75.0,73.0
914.0,male,group D,associate's degree,standard,completed,89.0,90.0,94.0
915.0,male,group C,some high school,standard,completed,66.0,67.0,64.0
916.0,female,group D,some college,standard,none,72.0,74.0,78.0
917.0,female,group D,associate's degree,standard,none,55.0,69.0,65.0
918.0,male,group D,master's degree,standard,none,83.0,87.0,82.0
919.0,male,group B,associate's degree,standard,none,69.0,64.0,55.0
920.0,female,group D,some high school,standard,none,52.0,59.0,56.0
921.0,female,group E,some high school,free/reduced,none,72.0,77.0,70.0
922.0,male,group B,associate's degree,standard,completed,84.0,78.0,78.0
923.0,female,group B,high school,standard,none,71.0,85.0,73.0
924.0,female,group C,master's degree,free/reduced,none,25.0,44.0,50.0
925.0,male,group C,some high school,standard,completed,70.0,78.0,77.0
926.0,male,group D,associate's degree,standard,completed,79.0,75.0,74.0
927.0,female,group C,some college,free/reduced,none,44.0,57.0,55.0
928.0,female,group B,high school,standard,none,75.0,82.0,83.0
929.0,female,group B,some high school,standard,none,83.0,83.0,82.0
930.0,female,group B,bachelor's degree,free/reduced,completed,78.0,95.0,96.0
931.0,male,group C,some college,standard,none,68.0,62.0,56.0
932.0,female,group C,some high school,standard,completed,47.0,59.0,61.0
933.0,male,group D,some high school,free/reduced,none,63.0,70.0,62.0
934.0,male,group D,high school,standard,none,53.0,43.0,47.0
935.0,male,group D,associate's degree,standard,none,75.0,62.0,60.0
936.0,male,group C,some high school,standard,none,72.0,65.0,56.0
937.0,female,group D,some high school,standard,completed,65.0,76.0,75.0
938.0,female,group E,master's degree,free/reduced,completed,87.0,97.0,95.0
939.0,male,group E,associate's degree,standard,none,76.0,64.0,58.0
940.0,male,group C,associate's degree,free/reduced,completed,58.0,52.0,51.0
941.0,female,group C,some college,standard,none,42.0,38.0,33.0
942.0,female,group C,some college,free/reduced,completed,46.0,50.0,54.0
943.0,female,group B,some college,standard,none,59.0,61.0,63.0
944.0,female,group D,some college,standard,none,71.0,72.0,70.0
945.0,female,group C,bachelor's degree,standard,none,57.0,56.0,54.0
946.0,female,group E,associate's degree,standard,none,88.0,86.0,88.0
947.0,male,group D,associate's degree,standard,none,63.0,66.0,58.0
948.0,male,group C,some college,standard,completed,89.0,84.0,86.0
949.0,male,group D,some high school,standard,none,54.0,45.0,45.0
